 min, max u ice = -0.86830519768887648       0.86843370298648559              464
 min, max u ice = -0.86952160517029820       0.86965035933065116              465
 min, max u ice = -0.87073646413583217       0.87086546705056966              466
 min, max u ice = -0.87194977923243189       0.87207903079328464              467
 min, max u ice = -0.87316155508926863       0.87329105518814132              468
 min, max u ice = -0.87437179631704209       0.87450154484597276              469
 min, max u ice = -0.87558050750802852       0.87571050435914233              470
 min, max u ice = -0.87678769323697703       0.87691793830257281              471
 min, max u ice = -0.87799335806014978       0.87812385123261683              472
 min, max u ice = -0.87919750651641571       0.87932824768831730              473
 min, max u ice = -0.88040014312631876       0.88053113219030954              474
